name	git	cloned	stars	watch	fork	lines_of_code
micro	https://github.com/zyedidia/micro	1	21457	259	1112	26284
neovim	https://github.com/neovim/neovim	1	65328	983	4617	842403
slap	https://github.com/slap-editor/slap	1	6097	144	256	1406
vai	https://github.com/stefanoborini/vai	1	241	21	17	7154
vim	https://github.com/vim/vim	1	30095	663	4723	1036348
vis	https://github.com/martanne/vis	1	3961	100	253	31339
WordGrinder	https://github.com/davidgiven/wordgrinder	1	753	27	48	48279
byobu	https://github.com/dustinkirkland/byobu	1	954	29	107	9257
screen	https://git.savannah.gnu.org/git/screen.git	1	/	/	/	32553
Tmate	https://github.com/tmate-io/tmate	1	5162	78	293	39796
tmux	https://github.com/tmux/tmux	1	28639	427	1893	70340
warp	https://github.com/spolu/warp	1	1588	29	49	111698
bpytop	https://github.com/aristocratos/bpytop	1	9331	151	373	5917
cv	https://github.com/Xfennec/progress	1	6025	137	286	1225
glances	https://github.com/nicolargo/glances	1	22699	497	1374	42054
GoTTY	https://github.com/yudai/gotty	1	17690	334	1343	14785
inxi	https://github.com/smxi/inxi	1	1021	36	85	29408
iotop	https://repo.or.cz/iotop.git	1	/	/	/	1495
htop	https://github.com/htop-dev/htop	1	4835	57	317	30947
multitail	https://github.com/folkertvanheusden/multitail	1	42	4	9	15424
ngrep	https://github.com/jpr5/ngrep	1	744	22	95	14281
progress	https://github.com/Xfennec/progress	1	6025	137	286	1225
powertop	https://github.com/fenrus75/powertop	1	804	47	116	30132
sysdig	https://github.com/draios/sysdig	1	7238	298	707	181574
smem	https://selenic.com/repo/smem	0	/	/	/	0
